name,street2,city_id,state_id,country_id,country_base_gst_type,gst_category,gst_reg,gst_no,pan,ref,gst_credit,disc,nedisc,adisc,tdisc,section_id,reverse_tax,notify_email,deemed_export,sez,export,tax_exempted,sale_type,sale_sub_type_id,property_account_receivable,property_account_payable,property_payment_term
INDIAN TELEPHONE INDUSTRIES LTD.,"BANGALORE - 560 016., , ",Bangalore,FALSE,India,FALSE,FALSE,FALSE,,FALSE,9300315,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDIGO PAINTS PVT. LTD,S. KALAMASSERRY,ERNAKULAM.,Kerala,India,FALSE,FALSE,FALSE,32AAAC18094D1ZR,FALSE,9100262,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDO GERMAN CARBONS LIMITED,"EDAYAR, BINANIPURAM - 683 502., ",BINANIPURAM,Kerala,India,FALSE,FALSE,FALSE,32AAACI4961R1Z6,FALSE,9100182,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDRAS AGENCIES PVT.LTD.,"39/587, MONASTERY ROAD,,COCHIN",COCHIN,Kerala,FALSE,FALSE,FALSE,FALSE,32AAACI2667J1ZN,,PA9500513,TRUE,0,0,0,0,FALSE,1,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDUS TEQSITE PRIVATE LTD.,"SPICOT IT PARK, SIRUSERI, CHENNAI - 603 103, ",Chennai,Tamil Nadu,India,FALSE,FALSE,FALSE,33AAACI6684D1ZP,FALSE,9250415,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDUSTRIAL ANALYTICAL SERVICES (K),"SANKAR NAGAR (TVS), KAIMANAM, TRIVANDRUM - 695 040",Trivandrum,FALSE,India,FALSE,FALSE,FALSE,,FALSE,9100188,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDUSTRIAL ENGINEERING CORPORATION,"MAJOR INDUSTRIAL ESTATE,,SOUTH KALAMASSERY KERALA",COCHIN,Kerala,FALSE,FALSE,FALSE,FALSE,,,PA9500501,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDUSTRIAL METAL POWDERS (INDIA) PVT.LTD,"BEHIND KALYANI FORGE, TAKULA-SHIRUR,PUNE",Pune,Maharashtra,FALSE,FALSE,FALSE,FALSE,27AABCI5507J1ZK,AABCI5507J,PA9500470,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDUSTRIAL ORGANICS,"DADAR (EAST),,MUMBAI",Mumbai,Maharashtra,FALSE,FALSE,FALSE,FALSE,,AAAFI1316H,PA9500517,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDUSTRIAL REAGENTS & CHEMICALS,"BINANIPURAM, EDAYAR.,",BINANIPURAM,Kerala,FALSE,FALSE,FALSE,FALSE,32AABFI9988G1Z1,,PA9500465,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDUSTRIAL SOLVENTS & CHEMICALS PVT.LTD.,"209, NARIMAN POINT,,MUMBAI",Mumbai,Gujarat,FALSE,FALSE,FALSE,FALSE,24AAACI1068D1Z4,,PA9500486,TRUE,0,0,0,0,FALSE,1,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDWAY FURNITURE MFG.CO.PVT.LTD.,"SOUTH KALAMASSERY,COCHIN ",COCHIN,Kerala,FALSE,FALSE,FALSE,FALSE,,,PA9600426,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INFINIUM PHARMACHEM PVT.LTD.,"SOITRA DIST.ANAND,,GUJARAT",Anand,Gujarat,FALSE,FALSE,FALSE,FALSE,,AABCI1843B,PA9500482,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INFRA SCIENTIFIC,"MOOSPET ROAD, EAST FORT P.O., THRISSUR-680 005, ",Thrissur,Kerala,India,FALSE,FALSE,FALSE,32AZHPS5929A1ZG,FALSE,9100189,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INFRA SCIENTIFIC,"NEAR S.N.A.,THRISSUR",Thrissur,Kerala,FALSE,FALSE,FALSE,FALSE,,,PA9500483,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
"INNVOL MEDICAL INDIA LTD.,","KUNNAM VILLAGE,SRIPERAMBATTUR T.K., KANCHIPURAM DT., ",Chennai,Tamil Nadu,India,FALSE,FALSE,FALSE,33AAACI2101H1ZD,FALSE,9250410,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INSIGNIA BIOMEDICAL,"LFC ROAD, KALOOR,KOCHI",Kochi,Kerala,FALSE,FALSE,FALSE,FALSE,,,PA9600437,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INSTITUTE OF ANIMAL HEALTH & VETY.,"PALODE, PACHA P.O - 695 562, ",Trivandrum,FALSE,India,FALSE,FALSE,FALSE,,FALSE,9100186,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INSTRUMENTALS,"PIN CODE-846 004., , ",BIHAR,FALSE,India,FALSE,FALSE,FALSE,,FALSE,9445210,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
