company_id,default_code,hs_code_Id,product_brand_id,name,uom_id,list_price,standard_price,specific_gravity,uom_po_id,product_type, categ_id ,track_all,type,produce_delay ,taxes_id,supplier_taxes_id,product_min_qty,product_max_qty,RQTY_ qty_multiple,ROUND,LOSSPER,warehouse_id,valuation     ,property_stock_account_input,property_stock_account_output,property_account_income, property_account_expense,cost_method,sale_ok,purchase_ok,status
NICE CHEMICALS PVT. LTD.,RP025,28372020,Purchase,POTASSIUM FERRICYANIDE,KG(s),650.11,650.11,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,25,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP026,28372030,Purchase,POTASSIUM FERROCYNADE,KG(s),216.73,216.73,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,100,100,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP027,28261990,Purchase,POTASSIUM FLUORIDE,KG(s),296.4,296.4,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,15,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,0,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP028,29173990,Purchase,POTASSIUM HYDROGEN PHTHALATE,KG(s),243.36,243.36,1,KG(s),RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP029,28152000,Purchase,POTASSIUM HYDROXIDE FLAKES,KG(s),71.65,71.65,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,100,250,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP030,28152000,Purchase,POTASSIUM HYDROXIDE PELLETS A.R.,KG(s),149.68,149.68,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP031,28152000,Purchase,POTASSIUM HYDROXIDE PELLETS L.R,KG(s),107.36,107.36,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,250,250,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP032,28299030,Purchase,POTASSIUM IODATE,KG(s),1736.04,1736.04,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@6, CGST@6 , IGST@12","SGST@6, CGST@6 , IGST@12",0,0,25,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP033,28276010,Purchase,POTASSIUM IODIDE A.R.,KG(s),2198.32,2198.32,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP034,28276010,Purchase,POTASSIUM IODIDE L.R.,KG(s),1533.75,1533.75,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,50,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP035,28322010,Purchase,POTASSIUM METABISULPHITE,KG(s),173.7,173.7,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,250,100,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP036,28342100,Purchase,POTASSIUM NITRATE,KG(s),81.8,81.8,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,400,250,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP037,29171190,Purchase,POTASSIUM OXALATE,KG(s),163.6,163.6,1,KG(s),RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP038,28416100,Purchase,POTASSIUM PERMANGANATE,KG(s),281.47,281.47,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,600,300,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RP039,28334000,Purchase,POTASSIUM PERSULPHATE  L.R,KG(s),300.14,300.14,1,KG(s),RM,INORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,25,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
